Wall time,Step,Value
1688404666.633094,3105,5.699999809265137
1688404674.371906,3106,5.639999866485596
1688404720.642495,3112,5.78000020980835
1688404751.548683,3116,5.929999828338623
1688404782.583547,3120,5.96999979019165
1688404790.219731,3121,5.96999979019165
1688404797.924711,3122,6.019999980926514
1688404836.465093,3127,6.050000190734863
1688404851.774256,3129,6.210000038146973
1688404982.347028,3146,6.21999979019165
1688405197.620374,3174,6.139999866485596
1688405236.068115,3179,6.190000057220459
1688405328.211744,3191,6.019999980926514
1688405343.407759,3193,6.070000171661377
1688405397.340216,3200,6.320000171661377
1688405435.900669,3205,6.130000114440918
1688405528.281846,3217,6.449999809265137
1688405536.039507,3218,6.510000228881836
1688405559.191029,3221,6.599999904632568
1688405574.598392,3223,6.550000190734863
1688405628.29282,3230,6.510000228881836
1688405720.702305,3242,6.429999828338623
1688405736.23126,3244,6.570000171661377
1688405904.924532,3266,6.130000114440918
1688405928.090413,3269,6.230000019073486
1688406158.901275,3299,6.75
1688406220.206225,3307,6.349999904632568
1688406481.930284,3341,5.800000190734863
1688406520.217066,3346,5.739999771118164
1688406604.734492,3357,6.119999885559082
1688406674.474252,3366,6.25
1688406728.071582,3373,6.139999866485596
1688406743.26233,3375,6.210000038146973
1688406766.449965,3378,6.309999942779541
1688406781.963231,3380,6.239999771118164
1688406820.461176,3385,6.230000019073486
1688406828.11214,3386,6.150000095367432
1688406889.363425,3394,6.099999904632568
1688406973.947991,3405,5.960000038146973
1688407081.462874,3419,5.860000133514404
1688407112.070794,3423,6.090000152587891
1688407143.17295,3427,6.019999980926514
1688407204.735675,3435,6.099999904632568
1688407243.827661,3440,6.159999847412109
1688407359.666402,3455,6.389999866485596
1688407413.454792,3462,6.199999809265137
1688407466.723853,3469,6.230000019073486
1688407574.582531,3483,6.630000114440918
1688407582.385144,3484,6.650000095367432
1688407590.055983,3485,6.599999904632568
1688407597.69351,3486,6.579999923706055
1688407643.634066,3492,6.5
1688407658.952955,3494,6.480000019073486
1688407712.722229,3501,6.369999885559082
